업체(시설)명,지도점검일자,점검사항,지도점검구분,소재지주소
미주염색,20160504,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로6가 98-2번지 
미보,20160503,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 묘동 70-1번지 
(주)한국금거래소쓰리엠,20160503,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 묘동 188-1번지 
와이에이치이골드,20160503,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 묘동 35-1번지 
대주페트로(주)종로지점 안풍주유소,20160428,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 홍지동 126-1번지 
한국섬유,20160427,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로5가 460-1번지 
종암염색,20160427,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로5가 471번지 
성신염색,20160427,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로5가 456-2번지 1층 
골드존,20160426,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 돈의동 50번지 
새하얀,20160426,발생폐수 적정보관 및 위탁여부,수시,서울특별시 종로구 봉익동 11-14번지 
예닮주얼리,20160426,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 와룡동 50-2번지 
골드마인,20160426,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 묘동 1번지 
코크쥬얼리,20160426,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 권농동 187-20번지 
지엔에스,20160426,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 돈의동 50번지 
진영염색,20160421,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로6가 33-9번지 
정원염색,20160421,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로6가 32-5번지 1층 
(주)신풍지퍼,20160421,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 충신동 69-2번지 
자하문주유소,20160420,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 부암동 155-3번지 
원도금,20160414,발생폐수 적정보관 및 위탁여부,수시,서울특별시 종로구 연지동 59번지 3층 
보람,20160414,발생폐수 적정보관 및 위탁여부,수시,서울특별시 종로구 묘동 78번지 
혜화카프라자,20160331,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 명륜1가 32-2번지 
원도금,20160325,발생폐수 적정보관 및 위탁여부,수시,서울특별시 종로구 연지동 59번지 3층 
태평양염색,20160323,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로5가 444-3번지 1층 
태성도금,20160322,발생폐수 적정보관 및 위탁여부,수시,서울특별시 종로구 권농동 188-2번지 
